intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
100,4.6053237542599246e-05,0.0008764241893076249,4.6053237542599246e-05,0.0003558253696226799,49.0,49.0,0.0,/home/sjnair/2023-dietary-plants/db/Sketched-db/db.crop-plant-entrez.ref.100.sig.zip,"NC_067044.1 Phleum pratense voucher Ph_p_1 chloroplast, complete genome",8017ec576eda0a46cb1906886705f114,0.0008764241893076249,100,0,900,input/weight_loss/ERR11520700_2.fastq.gz,ERR11520700,735df94e,2171400,51,DNA,100,21714,True,0.8221780642810772,0.8710703328232552,0.8466241985521662,0.8710703328232552,True,49,49,137708
100,4.6053237542599246e-05,0.0007898894154818325,4.6053237542599246e-05,0.0023528044848520058,324.0,324.0,0.0,/home/sjnair/2023-dietary-plants/db/Sketched-db/db.crop-plant-entrez.ref.100.sig.zip,"NC_066745.1 Lactuca indica chloroplast, complete genome",7aff8b45571b0dee9fe3092a2041567c,0.0007898894154818325,100,1,800,input/weight_loss/ERR11520700_2.fastq.gz,ERR11520700,735df94e,2171400,51,DNA,100,21714,True,0.8221780642810772,0.8692965710622691,0.8457373176716731,0.8692965710622691,True,324,373,137708
100,4.6053237542599246e-05,0.0007575757575757576,4.6053237542599246e-05,0.0004066575652830627,56.0,56.0,0.0,/home/sjnair/2023-dietary-plants/db/Sketched-db/db.crop-plant-entrez.ref.100.sig.zip,"NC_061691.1 Camellia sinensis var. pubilimba chloroplast, complete genome",d178dcb0ea7e6ccf09c7ff7f4fc1dc27,0.0007575757575757576,100,2,700,input/weight_loss/ERR11520700_2.fastq.gz,ERR11520700,735df94e,2171400,51,DNA,100,21714,True,0.8221780642810772,0.8685849016043844,0.8453814829427309,0.8685849016043844,True,56,429,137708
100,4.6053237542599246e-05,0.0007262164124909223,4.6053237542599246e-05,0.18302495134632701,25204.0,25204.0,0.0,/home/sjnair/2023-dietary-plants/db/Sketched-db/db.crop-plant-entrez.ref.100.sig.zip,"NC_061549.1 Malus domestica cultivar Red Delicious-ww chloroplast, complete genome",879c39e50548912dc84d95be34269340,0.0007262164124909223,100,3,600,input/weight_loss/ERR11520700_2.fastq.gz,ERR11520700,735df94e,2171400,51,DNA,100,21714,True,0.8221780642810772,0.8678652029482147,0.8450216336146459,0.8678652029482147,True,25204,25633,137708
100,4.6053237542599246e-05,0.0007042253521126761,4.6053237542599246e-05,0.0025779184942051297,355.0,355.0,0.0,/home/sjnair/2023-dietary-plants/db/Sketched-db/db.crop-plant-entrez.ref.100.sig.zip,"NC_054233.1 Theobroma grandiflorum chloroplast, complete genome",e81b4b6286bd873dba3bd0ccf0ee7cc5,0.0007042253521126761,100,4,500,input/weight_loss/ERR11520700_2.fastq.gz,ERR11520700,735df94e,2171400,51,DNA,100,21714,True,0.8221780642810772,0.8673420949216503,0.8447600796013637,0.8673420949216503,True,355,25988,137708
100,4.6053237542599246e-05,0.0007704160246533128,4.6053237542599246e-05,0.0040665756528306275,560.0,560.0,0.0,/home/sjnair/2023-dietary-plants/db/Sketched-db/db.crop-plant-entrez.ref.100.sig.zip,"NC_039694.1 Capsicum pubescens chloroplast, complete genome",6488123c8f890dfcb386fc30cdffabed,0.0007704160246533128,100,5,400,input/weight_loss/ERR11520700_2.fastq.gz,ERR11520700,735df94e,2171400,51,DNA,100,21714,True,0.8221780642810772,0.8688711920933256,0.8455246281872014,0.8688711920933256,True,560,26548,137708
100,4.6053237542599246e-05,0.0006997900629811056,4.6053237542599246e-05,0.022525924419786795,3102.0,3102.0,0.0,/home/sjnair/2023-dietary-plants/db/Sketched-db/db.crop-plant-entrez.ref.100.sig.zip,"NC_034998.1 Pistacia vera plastid, complete genome",e880fd0541e3bd0243433818db95e274,0.0006997900629811056,100,6,300,input/weight_loss/ERR11520700_2.fastq.gz,ERR11520700,735df94e,2171400,51,DNA,100,21714,True,0.8221780642810772,0.8672346527325173,0.8447063585067973,0.8672346527325173,True,3102,29650,137708
100,4.6053237542599246e-05,0.0007369196757553427,4.6053237542599246e-05,2.1785226711592644e-05,3.0,3.0,0.0,/home/sjnair/2023-dietary-plants/db/Sketched-db/db.crop-plant-entrez.ref.100.sig.zip,"NC_031383.1 Vitis amurensis voucher VAMU20160531 chloroplast, complete genome",1a1782a67ffa381e5fdb6a253c627d08,0.0007369196757553427,100,7,200,input/weight_loss/ERR11520700_2.fastq.gz,ERR11520700,735df94e,2171400,51,DNA,100,21714,True,0.8221780642810772,0.8681142111340595,0.8451461377075684,0.8681142111340595,True,3,29653,137708
100,4.6053237542599246e-05,0.0007496251874062968,4.6053237542599246e-05,0.006230574839515496,858.0,858.0,0.0,/home/sjnair/2023-dietary-plants/db/Sketched-db/db.crop-plant-entrez.ref.100.sig.zip,"NC_031189.1 Persea americana voucher SY1359 chloroplast, complete genome",f640e0e206777d63deadcc87902c1ad8,0.0007496251874062968,100,8,100,input/weight_loss/ERR11520700_2.fastq.gz,ERR11520700,735df94e,2171400,51,DNA,100,21714,True,0.8221780642810772,0.8684052387393052,0.8452916515101911,0.8684052387393052,True,858,30511,137708
100,4.6053237542599246e-05,0.0007782101167315176,4.6053237542599246e-05,0.0044441862491649,612.0,612.0,0.0,/home/sjnair/2023-dietary-plants/db/Sketched-db/db.crop-plant-entrez.ref.100.sig.zip,"NC_029850.1 Coriandrum sativum chloroplast, complete genome",e08bca52b0281d87ff2e618146babbca,0.0007782101167315176,100,9,0,input/weight_loss/ERR11520700_2.fastq.gz,ERR11520700,735df94e,2171400,51,DNA,100,21714,True,0.8221780642810772,0.8690426986351143,0.8456103814580958,0.8690426986351143,True,612,31123,137708
